system:index,B11,B12,B2,B3,B4,B5,B6,B7,B8,B8A,EVI,NDVI,NDWI,SAVI,date,farm_id,.geo
20180103T054219_20180103T055214_T42QZJ_0,2519.134389643011,1994.4076131587835,1421.7049417902513,1652.7695280421235,1538.2741413458282,2008.1861262740929,2858.6621419255102,3095.3313849572473,3193.701753538476,3165.9429013091144,2.4005219786930736,0.34865975790463993,0.11713663018919748,0.5229345310432871,2018-01-03,Farm1,"{""type"":""Polygon"",""coordinates"":[[[72.750877,21.237588999999996],[72.750958,21.237044],[72.752218,21.237244],[72.752108,21.237798999999995],[72.750877,21.237588999999996]]]}"
20180103T054219_20180103T055214_T42QZJ_1,2421.613945093569,2094.366106203096,1476.2831765935211,1630.4994775339599,1715.2052341597796,1951.0723852949552,2287.006554573952,2428.3583167094134,2424.884772489788,2509.5609385389953,1.0908307217539899,0.17022378061832,-3.5456125284543197E-4,0.25530500227881886,2018-01-03,Farm2,"{""type"":""Polygon"",""coordinates"":[[[72.750958,21.237044],[72.75104,21.236495999999995],[72.75231200000002,21.236687],[72.752218,21.237244],[72.750958,21.237044]]]}"
20180103T054219_20180103T055214_T42QZJ_2,2600.5629095674963,2171.001310615989,1483.8820445609433,1628.268020969856,1707.386631716907,2011.35124508519,2555.1448230668416,2748.7293577981654,2655.686762778506,2862.476408912189,1.3330497949504159,0.2156464256469658,0.009190914955851559,0.32343278611785065,2018-01-03,Farm3,"{""type"":""Polygon"",""coordinates"":[[[72.73234100000002,21.227198],[72.732392,21.226953],[72.732652,21.22712],[72.732508,21.227258],[72.73234100000002,21.227198]]]}"
20180103T054219_20180103T055214_T42QZJ_3,2603.6854676258995,2260.3237410071943,1578.5107913669062,1730.235107913669,1860.8935251798564,2105.145035971223,2403.5608633093525,2542.0794244604317,2530.863309352518,2634.665611510791,0.8998443588384618,0.15093427854886987,-0.015573796475179485,0.22637585637108248,2018-01-03,Farm4,"{""type"":""Polygon"",""coordinates"":[[[72.731663,21.227759999999996],[72.731744,21.227447],[72.732082,21.227509],[72.731988,21.227866],[72.731663,21.227759999999996]]]}"
20180103T054219_20180103T055214_T43QBD_0,2521.373033163882,1994.6291938997822,1387.607843137255,1628.5040910191235,1515.108593560881,1996.9018155410315,2867.460421205519,3106.350956184943,3205.1036552892756,3176.646477850399,2.28360600898659,0.3568016230640224,0.11839411141984602,0.535145902946927,2018-01-03,Farm1,"{""type"":""Polygon"",""coordinates"":[[[72.750877,21.237588999999996],[72.750958,21.237044],[72.752218,21.237244],[72.752108,21.237798999999995],[72.750877,21.237588999999996]]]}"
20180103T054219_20180103T055214_T43QBD_1,2422.9350340297938,2094.269430298415,1442.8250916186764,1604.4282994621867,1695.4325829327497,1937.5266765027836,2274.764551901386,2418.5361477321403,2414.1434486697453,2500.812146018753,1.0260040221717153,0.1736291545033952,-0.0028983790031645753,0.26041222394523333,2018-01-03,Farm2,"{""type"":""Polygon"",""coordinates"":[[[72.750958,21.237044],[72.75104,21.236495999999995],[72.75231200000002,21.236687],[72.752218,21.237244],[72.750958,21.237044]]]}"
20180103T054219_20180103T055214_T43QBD_2,2595.283837056505,2166.6360052562413,1452.3127463863343,1599.8324572930358,1686.962549277267,1979.4132720105129,2517.014454664915,2696.3081471747705,2653.128777923785,2814.0755584756903,1.2772113773767018,0.22077645418736255,0.00968761861376159,0.33112676122766244,2018-01-03,Farm3,"{""type"":""Polygon"",""coordinates"":[[[72.73234100000002,21.227198],[72.732392,21.226953],[72.732652,21.22712],[72.732508,21.227258],[72.73234100000002,21.227198]]]}"
20180103T054219_20180103T055214_T43QBD_3,2608.6737752161393,2263.347550432277,1547.875504322767,1706.9723342939478,1843.814985590778,2102.9123919308354,2414.3971181556194,2543.8475504322773,2522.0743515850145,2650.023631123919,0.856205110637653,0.1536914725539371,-0.018091860273812346,0.23051102459935383,2018-01-03,Farm4,"{""type"":""Polygon"",""coordinates"":[[[72.731663,21.227759999999996],[72.731744,21.227447],[72.732082,21.227509],[72.731988,21.227866],[72.731663,21.227759999999996]]]}"
20180118T054141_20180118T054518_T42QZJ_0,2505.9133375199253,1901.3490652625478,1343.6366359113085,1621.9624172745275,1442.8444519588422,1949.8470122216318,3335.0403845224855,3749.682430800444,3870.634365489591,3817.8973962610494,2.490492523495835,0.45515385429415545,0.2126249551610324,0.682666717269491,2018-01-18,Farm1,"{""type"":""Polygon"",""coordinates"":[[[72.750877,21.237588999999996],[72.750958,21.237044],[72.752218,21.237244],[72.752108,21.237798999999995],[72.750877,21.237588999999996]]]}"
20180118T054141_20180118T054518_T42QZJ_1,2400.5015199012064,2016.9403438776474,1431.0338652987548,1637.2999430037046,1682.0008074475156,1936.0244609100407,2454.1161299515525,2633.9194452360593,2571.885247458915,2722.523130996485,1.1545493974440393,0.20695800714615933,0.03256088648725779,0.3104008061570115,2018-01-18,Farm2,"{""type"":""Polygon"",""coordinates"":[[[72.750958,21.237044],[72.75104,21.236495999999995],[72.75231200000002,21.236687],[72.752218,21.237244],[72.750958,21.237044]]]}"
20180118T054141_20180118T054518_T42QZJ_2,2667.636959370905,2139.288990825688,1445.5792922673654,1697.0629095674965,1781.8211009174308,2098.5321100917436,2721.424639580603,2962.0563564875483,2896.64875491481,3122.1153342070775,1.0208742593125302,0.2379272624738434,0.04095153242995915,0.35685277236835067,2018-01-18,Farm3,"{""type"":""Polygon"",""coordinates"":[[[72.73234100000002,21.227198],[72.732392,21.226953],[72.732652,21.22712],[72.732508,21.227258],[72.73234100000002,21.227198]]]}"
20180118T054141_20180118T054518_T42QZJ_3,2526.850647482014,2217.3070503597123,1503.0204316546763,1719.2785611510792,1864.1910791366906,2089.969208633094,2365.4400000000005,2478.3047482014395,2489.720863309353,2607.7027338129496,0.6518073773103157,0.14266821205337224,-0.008329055466700255,0.21397788345032667,2018-01-18,Farm4,"{""type"":""Polygon"",""coordinates"":[[[72.731663,21.227759999999996],[72.731744,21.227447],[72.732082,21.227509],[72.731988,21.227866],[72.731663,21.227759999999996]]]}"
20180118T054141_20180118T054518_T43QBD_0,2505.365044783345,1902.56223674655,1382.7312999273786,1645.5159041394334,1465.3724521907525,1966.8191236988616,3330.086952311788,3732.021447591382,3848.6762527233113,3805.716194625998,2.643308060018516,0.4468782008679426,0.21011129283245034,0.6702543975105343,2018-01-18,Farm1,"{""type"":""Polygon"",""coordinates"":[[[72.750877,21.237588999999996],[72.750958,21.237044],[72.752218,21.237244],[72.752108,21.237798999999995],[72.750877,21.237588999999996]]]}"
20180118T054141_20180118T054518_T43QBD_1,2393.3595735567083,2012.127552234544,1466.5338632145067,1659.8051972776161,1696.7643139307986,1946.5900718671176,2455.927752129837,2631.5717957260485,2575.5303412498206,2717.659178525534,1.2546826758552387,0.2035360959783289,0.034828694995499905,0.3052686868924684,2018-01-18,Farm2,"{""type"":""Polygon"",""coordinates"":[[[72.750958,21.237044],[72.75104,21.236495999999995],[72.75231200000002,21.236687],[72.752218,21.237244],[72.750958,21.237044]]]}"
20180118T054141_20180118T054518_T43QBD_2,2667.4211563731938,2128.8153745072273,1481.4356110381077,1721.0400788436268,1795.6195795006574,2113.074901445467,2710.0893561103817,2913.9533508541394,2903.022339027596,3097.454007884363,1.0844915556345625,0.23510792641875214,0.04187039075065786,0.3526244182108146,2018-01-18,Farm3,"{""type"":""Polygon"",""coordinates"":[[[72.73234100000002,21.227198],[72.732392,21.226953],[72.732652,21.22712],[72.732508,21.227258],[72.73234100000002,21.227198]]]}"
20180118T054141_20180118T054518_T43QBD_3,2528.9360230547554,2217.3328530259364,1535.4423631123916,1738.8106628242074,1874.2780979827091,2100.306340057637,2391.7654178674356,2513.589625360231,2504.208645533142,2635.59855907781,0.7030563994003777,0.1426636603113421,-0.005946154095071955,0.21397122760770226,2018-01-18,Farm4,"{""type"":""Polygon"",""coordinates"":[[[72.731663,21.227759999999996],[72.731744,21.227447],[72.732082,21.227509],[72.731988,21.227866],[72.731663,21.227759999999996]]]}"
20180123T054119_20180123T055020_T42QZJ_0,2489.305782329356,1952.0776291000425,1375.9524660644408,1619.4377083232687,1483.1061784454853,1960.799671513453,3229.8202019226114,3686.360513984831,3802.6941693637973,3737.6195835949948,2.4524548123389707,0.43733033290615336,0.20750385030016757,0.6559336188358721,2018-01-23,Farm1,"{""type"":""Polygon"",""coordinates"":[[[72.750877,21.237588999999996],[72.750958,21.237044],[72.752218,21.237244],[72.752108,21.237798999999995],[72.750877,21.237588999999996]]]}"
20180123T054119_20180123T055020_T42QZJ_1,2471.8541369810955,2076.1562173458715,1473.661964472309,1663.1064405813615,1728.7949083309584,1979.4599601025923,2522.3861024033426,2735.786026408283,2703.37864538805,2820.658212216206,1.2014650712661383,0.21726961731207992,0.042457844186143706,0.32586797942292883,2018-01-23,Farm2,"{""type"":""Polygon"",""coordinates"":[[[72.750958,21.237044],[72.75104,21.236495999999995],[72.75231200000002,21.236687],[72.752218,21.237244],[72.750958,21.237044]]]}"
20180123T054119_20180123T055020_T42QZJ_2,2740.863040629096,2260.470511140236,1524.222149410223,1717.5838794233287,1802.4154652686766,2143.530799475753,2768.7876802096985,3045.0589777195282,2964.6697247706425,3155.6651376146788,1.250373482180194,0.24346846199587427,0.03895460986773049,0.3651644077950889,2018-01-23,Farm3,"{""type"":""Polygon"",""coordinates"":[[[72.73234100000002,21.227198],[72.732392,21.226953],[72.732652,21.22712],[72.732508,21.227258],[72.73234100000002,21.227198]]]}"
20180123T054119_20180123T055020_T42QZJ_3,2481.9007194244605,2177.9522302158275,1476.0074820143884,1628.928633093525,1784.0587050359716,1979.7223021582734,2246.703021582734,2393.0158273381294,2382.8178417266186,2516.1467625899286,0.7310434528044139,0.1418526096534165,-0.022016147266215674,0.21275361559125722,2018-01-23,Farm4,"{""type"":""Polygon"",""coordinates"":[[[72.731663,21.227759999999996],[72.731744,21.227447],[72.732082,21.227509],[72.731988,21.227866],[72.731663,21.227759999999996]]]}"
20180123T054119_20180123T055020_T43QBD_0,2498.5266037279107,1949.4197046719923,1222.6026143790853,1518.1027354151538,1382.1449527959332,1907.344081336238,3294.024061970468,3783.4864681675126,3902.7280561607354,3831.581893004115,2.0942515494223457,0.47524685813752443,0.21793280214627206,0.7128030297723086,2018-01-23,Farm1,"{""type"":""Polygon"",""coordinates"":[[[72.750877,21.237588999999996],[72.750958,21.237044],[72.752218,21.237244],[72.752108,21.237798999999995],[72.750877,21.237588999999996]]]}"
20180123T054119_20180123T055020_T43QBD_1,2480.8167626481363,2076.9296558945316,1338.1500642520587,1568.2647660749128,1659.9746799295608,1924.1396411403553,2496.485079244205,2723.9515967826374,2690.1174622816616,2819.26319546904,0.9826608153207133,0.23356336379875295,0.037691495745514,0.35030516345805846,2018-01-23,Farm2,"{""type"":""Polygon"",""coordinates"":[[[72.750958,21.237044],[72.75104,21.236495999999995],[72.75231200000002,21.236687],[72.752218,21.237244],[72.750958,21.237044]]]}"
20180123T054119_20180123T055020_T43QBD_2,2766.2174770039423,2280.940867279895,1398.6346911957953,1632.7233902759526,1743.868593955322,2108.2713534822606,2729.4921156373193,3049.700394218134,2989.7148488830485,3116.4947437582127,1.0566214256482147,0.26250978815396614,0.03817582213244499,0.39372315325097895,2018-01-23,Farm3,"{""type"":""Polygon"",""coordinates"":[[[72.73234100000002,21.227198],[72.732392,21.226953],[72.732652,21.22712],[72.732508,21.227258],[72.73234100000002,21.227198]]]}"
20180123T054119_20180123T055020_T43QBD_3,2508.793371757925,2190.9832853025937,1336.7567723342943,1522.420749279539,1715.1844380403454,1939.3567723342942,2231.7389048991354,2386.8991354466857,2326.6634005763685,2522.271757925072,0.5825733657743029,0.14916463096850144,-0.03945758315442294,0.22371953189963248,2018-01-23,Farm4,"{""type"":""Polygon"",""coordinates"":[[[72.731663,21.227759999999996],[72.731744,21.227447],[72.732082,21.227509],[72.731988,21.227866],[72.731663,21.227759999999996]]]}"
20180202T054029_20180202T054843_T42QZJ_0,2317.2405680884976,1825.890536689049,1160.3243804647116,1402.9093280517845,1333.3783875175106,1797.3637022366056,2961.6710786918493,3446.3190667117533,3616.222114873678,3558.3492584899273,1.9775279881608303,0.4600710726994242,0.2181657016700716,0.6900370376570808,2018-02-02,Farm1,"{""type"":""Polygon"",""coordinates"":[[[72.750877,21.237588999999996],[72.750958,21.237044],[72.752218,21.237244],[72.752108,21.237798999999995],[72.750877,21.237588999999996]]]}"
20180202T054029_20180202T054843_T42QZJ_1,2429.1099553529016,2049.3097748646337,1313.3075425097365,1522.3725182863109,1652.953453025553,1910.0999335043227,2417.518476299041,2649.2932934359274,2633.6755960862542,2740.5948988315754,0.9027516314397734,0.2258367712432926,0.037933654864370524,0.3387160135620757,2018-02-02,Farm2,"{""type"":""Polygon"",""coordinates"":[[[72.750958,21.237044],[72.75104,21.236495999999995],[72.75231200000002,21.236687],[72.752218,21.237244],[72.750958,21.237044]]]}"
20180202T054029_20180202T054843_T42QZJ_2,2780.3047182175624,2278.745740498034,1369.8761467889908,1626.2365661861072,1741.186107470511,2090.4501965923987,2806.4888597640897,3137.460681520314,3105.348623853211,3214.249672346002,1.0435866516242756,0.28136191422280643,0.05513908825529491,0.4219992884214225,2018-02-02,Farm3,"{""type"":""Polygon"",""coordinates"":[[[72.73234100000002,21.227198],[72.732392,21.226953],[72.732652,21.22712],[72.732508,21.227258],[72.73234100000002,21.227198]]]}"
20180202T054029_20180202T054843_T42QZJ_3,2507.395107913669,2211.5306474820145,1362.905035971223,1538.4005755395685,1762.7202877697844,1982.4184172661871,2200.820143884892,2324.808920863309,2321.0451798561153,2465.5214388489208,0.5119026809254537,0.1342680791838981,-0.040683290966790624,0.20137778110745902,2018-02-02,Farm4,"{""type"":""Polygon"",""coordinates"":[[[72.731663,21.227759999999996],[72.731744,21.227447],[72.732082,21.227509],[72.731988,21.227866],[72.731663,21.227759999999996]]]}"
20180202T054029_20180202T054843_T43QBD_0,2313.2478334543694,1829.3576857903656,1387.7814088598402,1563.9647542967805,1478.7733236504482,1879.1872670055675,2936.8467199225365,3383.5694504962476,3517.394141854272,3493.8586782861275,2.610970471895678,0.4071478396175086,0.20597596702071813,0.6106607527406979,2018-02-02,Farm1,"{""type"":""Polygon"",""coordinates"":[[[72.750877,21.237588999999996],[72.750958,21.237044],[72.752218,21.237244],[72.752108,21.237798999999995],[72.750877,21.237588999999996]]]}"
